[2024-01-11 22:26:58.681] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:58.681] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:58.684] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:58.684] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:58.684] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:58.689] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:58.689] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:58.693] $GNRMC,235949.012,V,,,,,,,050180,,,N,V*26
[2024-01-11 22:26:58.694] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:26:59.662] $GNGGA,235950.012,,,,,0,0,,,M,,M,,*5D
[2024-01-11 22:26:59.669] $GNGLL,,,,,235950.012,V,N*6F
[2024-01-11 22:26:59.675] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:59.675] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:26:59.682] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:59.682] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:59.689] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:59.689] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:59.689] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:59.689] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:59.692] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:59.692] $GNRMC,235950.012,V,,,,,,,050180,,,N,V*2E
[2024-01-11 22:26:59.696] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:27:00.662] $GNGGA,235951.012,,,,,0,0,,,M,,M,,*5C
[2024-01-11 22:27:00.670] $GNGLL,,,,,235951.012,V,N*6E
[2024-01-11 22:27:00.675] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:27:00.675] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:27:00.679] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:27:00.679] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:27:00.684] $GPGSV,1,1,00,1*64
[2024-01-11 22:27:00.684] $GLGSV,1,1,00,1*78
[2024-01-11 22:27:00.684] $GAGSV,1,1,00,7*73
[2024-01-11 22:27:00.689] $GBGSV,1,1,00,1*76
[2024-01-11 22:27:00.689] $GBGSV,1,1,00,3*74
[2024-01-11 22:27:00.694] $GNRMC,235951.012,V,,,,,,,050180,,,N,V*2F
[2024-01-11 22:27:00.694] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:37.765] 
[2024-01-11 22:43:37.765] Hello nemo2.space tracker p gnss relay
[2024-01-11 22:43:37.767] 
[2024-01-11 22:43:38.612] 
[2024-01-11 22:43:38.612] Hello nemo2.space tracker p gnss relay
[2024-01-11 22:43:38.614] 
[2024-01-11 22:43:38.614] $PAIR007**$PA$PAIR001,007,1*3D
[2024-01-11 22:43:39.912] $PAIR001,007,0*3C
[2024-01-11 22:43:39.918] $PAIR001,021,0*38
[2024-01-11 22:43:39.918] $PAIR021,AG3352Q_V2.3.0.AG3352_20230213,S,N,2b31f59,2209141904,,,,,d32ef91c,2209141902,571d3e7,2209141904,,,-15.48,-15.48,-14.02,-15.48,0,1,##,0,0*34
[2024-01-11 22:43:40.170] $PAIR011,001*27
[2024-01-11 22:43:40.175] $PAIR001,752,0*3B
[2024-01-11 22:43:40.180] $PAIR010,1,-1*16
[2024-01-11 22:43:40.180] $PAIR010,2,-1*15
[2024-01-11 22:43:40.221] $GNGGA,235942.013,,,,,0,0,,,M,,M,,*5F
[2024-01-11 22:43:40.229] $GNGLL,,,,,235942.013,V,N*6D
[2024-01-11 22:43:40.233] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:40.233] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:40.239] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:40.239] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:40.244] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:40.244] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:40.249] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:40.249] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:40.249] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:40.251] $GNRMC,235942.013,V,,,,,,,050180,,,N,V*2C
[2024-01-11 22:43:40.254] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:41.194] $GNGGA,235943.012,,,,,0,0,,,M,,M,,*5F
[2024-01-11 22:43:41.205] $GNGLL,,,,,235943.012,V,N*6D
[2024-01-11 22:43:41.205] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:41.205] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:41.210] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:41.215] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:41.215] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:41.221] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:41.221] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:41.221] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:41.226] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:41.226] $GNRMC,235943.012,V,,,,,,,050180,,,N,V*2C
[2024-01-11 22:43:41.230] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:42.193] $GNGGA,235944.012,,,,,0,0,,,M,,M,,*58
[2024-01-11 22:43:42.201] $GNGLL,,,,,235944.012,V,N*6A
