messageGuid,deviceGuid,createdDate,receivedDate,latitude,longitude,data,messageSize,callbackDeliveryStatus
528a10ec-0eb4-418c-acb3-a5ab3fd88109,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 17:05:19,02/28/2024 22:13:05,52.27841,20.809144,MTYsMS42LDEzLDUsNTIyNzg0MTAwLDIwODA5MTQ0MA==,39,4
12b6594f-741b-4320-8621-995274b34d06,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 18:20:50,02/28/2024 22:13:07,52.278369,20.80987,MTcsMS45LDMxLDUsNTIyNzgzNjkwLDIwODA5ODcwMA==,39,4
8224c8b8-1b62-46fa-8b85-eb0f0e82e818,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 19:36:19,02/28/2024 22:13:07,52.277679,20.809728,MTgsMS43LDMwLDYsNTIyNzc2NzkwLDIwODA5NzI4MA==,39,4
e7ff1ead-40d8-4a0b-8973-8a6f2c4c861c,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 20:51:25,02/28/2024 22:13:07,52.278516,20.808338,MTksMS40LDUsNiw1MjI3ODUxNjAsMjA4MDgzMzgw,38,4
a2d69d3c-b52a-41ac-8e81-edae6cb58a0f,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 12:45:13,02/28/2024 22:13:07,0,0,MTMsMS42LDI0LDQsMCww,23,4
5f4c0d24-6378-4b9c-8160-b9f35d679fd6,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 21:48:43,02/28/2024 22:13:07,52.278516,20.808338,MjAsMSwzLDUw,17,4
d4e4fb48-a732-4741-b04d-b728046037cd,37e91959-2b3c-464c-866a-acc75e5f5bba,02/29/2024 00:42:13,02/29/2024 00:48:32,52.278328,20.80964,MjIsMS42LDE3LDYsNTIyNzgzMjgwLDIwODA5NjQwMA==,39,4
3fa00e9a-f4d7-4de7-9a39-5ee80988d7cc,37e91959-2b3c-464c-866a-acc75e5f5bba,02/28/2024 23:26:56,02/29/2024 00:48:32,52.278196,20.809212,MjEsMS42LDExLDYsNTIyNzgxOTYwLDIwODA5MjEyMA==,39,4
97beace3-ac6d-4ac5-a05f-d76ac21237b4,37e91959-2b3c-464c-866a-acc75e5f5bba,02/29/2024 02:02:13,02/29/2024 09:41:23,0,0,MjMsMS41LDE0LDcsMCww,23,4
4a8d34e8-e3cf-486b-9bd3-b758dcd0f9de,37e91959-2b3c-464c-866a-acc75e5f5bba,02/29/2024 08:15:37,02/29/2024 13:02:38,0,0,MjQsMSw0LDE3,17,4
b36f30a1-4d4e-45cd-86d9-5f9868b7c9c7,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 11:45:41,03/01/2024 13:14:38,52.278252,20.809128,MjcsMSw1LDc=,16,4
aa4669dc-03f0-4dfd-9265-d1e2c2a2eeff,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 11:33:39,03/01/2024 13:14:38,52.278252,20.809128,MjYsMS42LDM3LDgsNTIyNzgyNTIwLDIwODA5MTI4MA==,39,4
990884e5-3eb0-4a5b-87a2-30f07753de32,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 10:18:02,03/01/2024 16:08:30,52.278363,20.809189,MjUsMS42LDM4LDcsNTIyNzgzNjMwLDIwODA5MTg5MA==,39,4
26a42acc-cecd-4cfd-a4d9-045e5514fe69,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 14:39:43,03/01/2024 20:23:52,52.278279,20.8091529,MjksMS4zLDEyLDgsNTIyNzgyNzkwLDIwODA5MTUyOQ==,39,4
7e8a3ff4-6556-426f-97f1-988241bab272,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 17:10:46,03/01/2024 20:23:52,52.278556,20.808857,MzAsMS4xLDE0LDEwLDUyMjc4NTU2MCwyMDgwODg1NzA=,40,4
8f6c6e5e-3dd0-47af-ac6a-0337dd24b0e1,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 13:24:29,03/01/2024 20:23:52,52.278329,20.8091769,MjgsMS4zLDI4LDgsNTIyNzgzMjkwLDIwODA5MTc2OQ==,39,4
91b27456-a3d0-483e-ba69-d386d9016f4e,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 18:25:59,03/01/2024 22:29:03,52.278251,20.808742,MzEsMS41LDEzLDEwLDUyMjc4MjUxMCwyMDgwODc0MjA=,40,4
1ad2ad21-5f28-4882-9340-6c519b5b616d,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 22:14:41,03/01/2024 22:29:04,52.278718,20.80927,MzQsMS41LDEyLDEwLDUyMjc4NzE4MCwyMDgwOTI3MDA=,40,4
cef08f9e-3afc-4ac7-bd04-1bf38a4e0b21,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 19:46:14,03/01/2024 22:37:50,52.278746,20.809322,MzMsMC4wLjMsMSwxMDAwLDQ1MDAsNTAsMTcsNy4w,38,4
3759009d-8c83-4d87-aeff-493070c230b7,37e91959-2b3c-464c-866a-acc75e5f5bba,03/01/2024 19:41:28,03/01/2024 22:37:50,52.278746,20.809322,MzIsMS40LDMwLDEwLDUyMjc4NzQ2MCwyMDgwOTMyMjA=,40,4
9c06e781-6306-4ac0-9dfc-654c47f08752,37e91959-2b3c-464c-866a-acc75e5f5bba,03/02/2024 00:30:06,03/02/2024 01:03:46,52.278947,20.808791,MzYsMC4wLjMsMSwxMDAwLDQ1MDAsNTAsMTcsNy4w,38,4
